Company,Country
RWE AG,Germany
DISH Network,USA
Advanced Micro Devices,USA
Plains GP Holdings,USA
Derwent London,UK
ManpowerGroup,USA
Truist Financial,USA
Tata Communications,India
Ferguson plc,UK
Ashtead Group,UK
Intertek Group,UK
Mirvac Group,Australia
Escorts Limited,India
S&P Global,USA
Interpublic Group,USA
Victrex,UK
Deutsche Annington Immobilien SE (Now Vonovia SE),Germany
Marks & Spencer,UK
"The Home Depot, Inc.",USA
Lincoln National,USA
Alibaba Group,China
Keurig Dr Pepper Inc.,USA
Jacobs Solutions,USA
Bank of China,China
Biogen,USA
Siemens AG,Germany
Charles Schwab,USA
Verizon Communications,USA
"Dr. Pepper Snapple Group, Inc.",USA
ON Semiconductor,USA
Airbnb,USA
BorgWarner,USA
Occidental Petroleum,USA
Nestle India,India
Cipla,India
Aurobindo Pharma,India
JPMorgan Chase,USA
Global Payments,USA
Aramark,USA
Hindalco Industries,India
3M,USA
JD Sports Fashion,UK
Tech Mahindra,India
Citigroup,USA
V-Guard Industries,India
Bank of America,USA
A-Mark Precious Metals,USA
Genuine Parts,USA
Woolworths Group,Australia
BJ's Wholesale Club,USA
Hindustan Petroleum Corporation Limited (HPCL),India
MasTec,USA
Hikma Pharmaceuticals,UK
Sprint Corporation,USA
Sherwin-Williams,USA
Hargreaves Lansdown,UK
American Electric Power,USA
ICICI Bank,India
Lear,USA
Owens Corning,USA
Vulcan Materials,USA
Cochlear Limited,Australia
Brighthouse Financial,USA
Visa,USA
Royal Caribbean Group,USA
KION Group AG,Germany
"Fidelity Investments, Inc.",USA
Mastercard,USA
Hero MotoCorp,India
Tata Consultancy Services (TCS),India
Newcrest Mining,Australia
Oshkosh,USA
APA,USA
Qube Holdings,Australia
Whirlpool,USA
Raytheon Technologies,USA
Sinopec,China
Berger Paints India Limited,India
Diamondback Energy,USA
Sydney Airport Holdings,Australia
Fiat Chrysler Automobiles N.V.,UK
Chewy,USA
Jabil,USA
Exxon Mobil Corporation,USA
Seek Limited,Australia
Infineon Technologies AG,Germany
Boise Cascade,USA
Performance Food Group,USA
Universal Health Services,USA
Persimmon plc,UK
Goldman Sachs Group,USA
Sartorius AG,Germany
Edison International,USA
Micron Technology,USA
Power Grid Corporation of India,India
HCA Healthcare,USA
ARKO,USA
Guardian Life Ins. Co. of America,USA
CMS Energy,USA
Mutual of Omaha Insurance,USA
Fifth Third Bancorp,USA
"McCormick & Company, Incorporated",USA
Ovintiv,USA
Henkel AG & Co. KGaA,Germany
Ford Motor,USA
NGL Energy Partners,USA
Steel Dynamics,USA
Fluor,USA
Experian,Ireland
Mahindra & Mahindra,India
Landstar System,USA
Constellation Energy,USA
Adani Green Energy,India
Baxter International,USA
AMP Limited,Australia
Agricultural Bank of China,China
Shriram Transport Finance Company,India
Humana,USA
Deutsche Pfandbriefbank AG,Germany
Public Service Enterprise Group,USA
Stockland Corporation,Australia
Laboratory Corp. of America,USA
New Oriental Education & Technology Group,China
Coty Inc.,USA
FedEx,USA
CommScope Holding,USA
Blackstone,USA
Transurban Group,Australia
ServiceNow,USA
Oil and Natural Gas Corporation (ONGC),India
Norwegian Cruise Line Holdings Ltd.,USA
Glencore,Switzerland
Energy Transfer,USA
APA Group,Australia
Hess,USA
Molson Coors Beverage,USA
The Coca-Cola Company,USA
Scottish Mortgage Investment Trust,UK
Weyerhaeuser,USA
Avenue Supermarts (DMart),India
Bayer AG,Germany
Qantas Airways,Australia
Unum Group,USA
Centene,USA
Indian Bank,India
Lufthansa Group,Germany
Evonik Industries AG,Germany
SAP SE,Germany
Hindustan Zinc,India
Albemarle,USA
Jones Lang LaSalle,USA
Principal Financial,USA
Ebay,USA
Barclays,UK
Pioneer Natural Resources,USA
AmerisourceBergen,USA
Beacon Roofing Supply,USA
Henry Schein,USA
Pfizer,USA
Fuchs Petrolub SE,Germany
Procter & Gamble,USA
Netflix,USA
Automatic Data Processing,USA
Burlington Stores,USA
Crown Holdings,USA
CarMax,USA
Regeneron Pharmaceuticals,USA
Next plc,UK
Bajaj Holdings & Investment Limited,India
Airtel Africa,UK
HCL Technologies,India
BT Group,UK
Synchrony Financial,USA
Drax Group,UK
Packaging Corp. of America,USA
Ingredion,USA
WEC Energy Group,USA
BHEL (Bharat Heavy Electricals Limited),India
J.M. Smucker,USA
Icahn Enterprises,USA
Dow,USA
Bajaj Auto,India
Zee Entertainment Enterprises,India
Eli Lilly,USA
Aditya Birla Capital,India
Lupin Limited,India
Expeditors International of Washington,USA
Voltas Limited,India
ZTE Corporation,China
Huntington Bancshares,USA
NRG Energy,USA
Avantor,USA
M&T Bank,USA
C.H. Robinson Worldwide,USA
Rio Tinto,UK
CDW,USA
NIO Inc.,China
CSX,USA
Target,USA
Marsh & McLennan,USA
PetroChina,China
Qualcomm,USA
The Kraft Heinz Company,USA
TAG Immobilien AG,Germany
Fiserv,USA
Skechers U.S.A.,USA
Munich Re Group,Germany
Brambles Limited,Australia
NCR,USA
Archer Daniels Midland,USA
Lloyds Banking Group,UK
Delek US Holdings,USA
Omnicom Group,USA
Gree Electric Appliances,China
Applied Materials,USA
Westlake,USA
